name,description,type,constellation,size,ra,dec,mag
IC 1795,Fishhead Nebula,Emission Nebula,Cassiopeia,30.0,02 26 32,62 02 39,
IC 1805,Heart Nebula,Emission Nebula,Cassiopeia,120.0,02 32 47,61 28 30,
IC 1848,Soul Nebula,Emission Nebula,Cassiopeia,1.8,02 51 18,60 24 30,6.5
IC 2118,Witch Head Nebula,Reflection Nebula,Eridanus,240.0,05 04 54,-07 15 00,
IC 298,Arp 147 Interacting Galaxies,Galaxy,Cetus,0.7,03 11 18,01 18 00,
IC 405,Flaming Star Nebula,Emission Nebula,Auriga,60.0,05 16 29,34 21 24,
IC 410,Tadpole Emission Nebula,Emission Nebula,Auriga,40.0,05 22 44,33 25 00,
IC 417,Spider and the Fly,Emission Nebula,Auriga,50.0,05 28 06,+34 25 24,
IC 434,Horsehead and Flame Nebula,Dark Nebula,Orion,30.0,05 41 00,-02 27 12,
IC 443,Jellyfish Nebula,Supernova Remnant,Gemini,60.0,06 16 36,+22 31 00,
IC 4592,Blue Horsehead Nebula. Jabbah,Reflection Nebula,Scorpius,120.0,16 11 59,-19 27 24,
IC 4628,Prawn Nebula,Emission Nebula,Scorpius,30.0,16 56 58,-40 27 24,7.1
IC 5070,Pelican Nebula,Emission Nebula,Cygnus,80.0,20 51 01,44 24 05,
IC 5146,Cocoon Nebula,Emission Nebula,Cygnus,12.0,21 53 29,+47 16 01,
IC 5148,Spare Tire Nebula,Planetary Nebula,Grus,2.0,21 59 35,-39 23 09,16.5
IC 63,Gamma Cassiopeia Nebula,Emission Nebula,Cassiopeia,20.0,00 59 29,60 54 42,
Jones-Emberson 1,Headphone Nebula,Planetary Nebula,Lynx,6.0,07 57 54,+53 25 00,
LBN 437,Gecko Nebula,Molecular Cloud,Lacerta,120.0,22 38 13,41 05 24,
LBN 438,Reaching Hand Nebula,Molecular Cloud,Lacerta,30.0,22 41 17,37 45 36,
LBN 468,Loop of Darkness,Molecular Cloud,Cepheus,120.0,20 42 29,67 51 00,
LBN 535,Shark Nebula,Reflection Nebula,Cepheus,15.0,22 14 55,73 25 00,
LBN 777,Baby Eagle Nebula,Molecular Cloud,Taurus,60.0,04 05 02,26 23 24,
LDN 1251,Angler Fish Nebula,Dark Nebula,Cepheus,90.0,22 36 03,75 15 35,
LDN 1495,Taurus Dark Nebulae Region,Dark Nebula,Taurus,40.0,04 18 05,27 37 17,
LDN 1622,Bogeyman Nebula,Dark Nebula,Orion,40.0,05 54 02,01 40 15,
M 1,Crab Nebula,Supernova Remnant,Taurus,6.0,05 34 32,+22 00 52,
M 101,Pinwheel Galaxy,Galaxy,Ursa Major,29.0,14 03 13,+54 20 56,7.9
M 104,Sombrero Galaxy,Galaxy,Virgo,9.0,12 39 59,-11 37 23,8.0
M 106,M 106 Galaxy,Galaxy,Canes Venatici,17.0,12 18 58,+47 18 16,8.4
M 108,Surfboard Galaxy,Galaxy,Ursa Major,9.0,11 11 31,55 40 26,
M 11,Wild Duck Cluster,Open Cluster,Scutum,14.0,18 51 05,-06 16 12,5.8
M 13,Great Hercules Cluster,Globular Cluster,Hercules,32.0,16 41 41,36 27 35,5.8
M 16,Eagle Nebula,Emission Nebula,Serpens,35.0,18 18 48,-13 48 24,
M 17,Omega Swan Horseshoe Checkmark Nebula,Emission Nebula,Sagittarius,46.0,18 20 47,-16 10 18,
M 20,Trifid Nebula,Emission Nebula,Sagittarius,29.0,18 02 42,-22 58 18,
M 22,Great Sagittarius Cluster,Globular Cluster,Sagittarius,24.0,18 36 24,-23 54 17,
M 27,Dumbbell or Apple Core Nebula,Planetary Nebula,Vulpecula,6.0,19 59 36,22 43 15,14.1
M 3,Globular Cluster also NGC 5272,Globular Cluster,Canes Venatici,16.0,13 42 11,28 22 35,6.4
M 31,Andromeda Galaxy,Galaxy,Andromeda,189.0,00 42 44,41 16 08,3.4
M 33,Triangulum Galaxy,Galaxy,Tri,70.0,01 33 51,30 39 37,5.7
M 42,Orion Nebula,Emission Nebula,Orion,66.0,05 35 16,-05 23 25,
M 45,Pleiades or Seven Sisters or Subaru,Open Cluster,Taurus,120.0,03 47 30,24 07 00,
M 5,Rose Cluster,Globular Cluster,Serpens,17.0,15 18 33,02 04 57,5.9
M 51,Whirlpool Galaxy,Galaxy,Canes Venatici,11.0,13 29 52,47 11 45,8.4
M 55,Specter Cluster,Globular Cluster,Sagittarius,19.0,19 40 00,-30 57 44,6.5
